text,label
"this movie was 🔥🔥🔥 no cap",positive
"ngl that film was mid asf",neutral
"just watched it... trash. dont waste ur time",negative
"omg best movie ever!! going again tmrw",positive
"eh it was ok i guess, nothing special lol",neutral
"literally cried the whole time 😭 masterpiece",positive
"worst 2hrs of my life fr fr",negative
"not gonna lie the acting was mid but visuals were 😍",neutral
"skip this one, save ur money",negative
"absolutely obsessed with this film rn",positive
"bro this was so boring i almost left",negative
"underrated movie, more people need to watch this",positive
"the plot twist tho 🤯",positive
"idk why everyone hype this its meh",neutral
"cinema is not dead after this masterpiece",positive
"waste of a friday night ngl",negative
"cant stop thinking about this movie wow",positive
"mid at best, wouldnt recommend",negative
"the hype was real this time",positive
"fell asleep halfway through lol",negative
